thorax_q1,thorax_q2,thorax_q3,thorax_q4,thorax_ax,thorax_ay,thorax_az,thorax_gx,thorax_gy,thorax_gz,thorax_mx,thorax_my,thorax_mz,thorax_barometer,thorax_linAcc_x,thorax_linAcc_y,thorax_linAcc_z,thorax_altitude,humerus_q1,humerus_q2,humerus_q3,humerus_q4,humerus_ax,humerus_ay,humerus_az,humerus_gx,humerus_gy,humerus_gz,humerus_mx,humerus_my,humerus_mz,humerus_barometer,humerus_linAcc_x,humerus_linAcc_y,humerus_linAcc_z,humerus_altitude,radius_q1,radius_q2,radius_q3,radius_q4,radius_ax,radius_ay,radius_az,radius_gx,radius_gy,radius_gz,radius_mx,radius_my,radius_mz,radius_barometer,radius_linAcc_x,radius_linAcc_y,radius_linAcc_z,radius_altitude,
0.7233483,+0.8169733,-0.5522084,-0.1661919,+0.0008261,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9268519,-0.3716266,+0.0532362,-0.0022635,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9913352,-0.0667824,-0.1130724,-0.0030571,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.7333606,+0.8169239,-0.5522396,-0.1663314,+0.0007932,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9269837,-0.3714109,+0.0524325,-0.0024399,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9913573,-0.0666186,-0.1129696,-0.0032498,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.7413589,+0.8168344,-0.5523291,-0.1664731,+0.0007685,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9271958,-0.3709851,+0.0516907,-0.0024501,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9913645,-0.0656594,-0.1134539,-0.0036666,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.7533601,+0.8167872,-0.5523734,-0.1665583,+0.0007644,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9272397,-0.3708589,+0.0518149,-0.0023396,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9913524,-0.0649984,-0.1139313,-0.0039024,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.7637904,+0.8167011,-0.5524564,-0.1667060,+0.0007531,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9272065,-0.3708014,+0.0528237,-0.0020222,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9912990,-0.0639490,-0.1149751,-0.0041935,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.7737888,+0.8166522,-0.5524999,-0.1668003,+0.0007268,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9271742,-0.3707998,+0.0534040,-0.0018452,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9913078,-0.0636032,-0.1150858,-0.0043351,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.7837914,+0.8166077,-0.5525411,-0.1668827,+0.0006834,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9271237,-0.3708729,+0.0537770,-0.0017045,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9913557,-0.0634952,-0.1147277,-0.0044515,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.7937883,+0.8166025,-0.5525026,-0.1670355,+0.0006245,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9271514,-0.3708218,+0.0536568,-0.0015569,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9914765,-0.0635925,-0.1136123,-0.0047554,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.8037907,+0.8166028,-0.5524847,-0.1670935,+0.0005946,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9272300,-0.3706649,+0.0533842,-0.0014583,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9915249,-0.0636567,-0.1131436,-0.0049739,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.8137896,+0.8165841,-0.5524547,-0.1672845,+0.0005835,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9273569,-0.3703749,+0.0532001,-0.0011320,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9915845,-0.0637576,-0.1125374,-0.0055214,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
